2017,Virginia,District 93,Write-In,Write In,40,False
2017,Virginia,District 94,Democratic Party,Shelly A. Simonds,11591,False
2017,Virginia,District 94,Republican Party,David E. Yancey,11601,True
2017,Virginia,District 94,Libertarian Party,Michael D. Bartley,675,False
2017,Virginia,District 94,Write-In,Write In,22,False
2017,Virginia,District 95,Democratic Party,"Marcia S. ""Cia"" Price",15766,True
2017,Virginia,District 95,Write-In,Write In,470,False
2017,Virginia,District 96,Democratic Party,Kelly A. DeLucia,14947,False
2017,Virginia,District 96,Republican Party,Brenda L. Pogge,19841,True
2017,Virginia,District 96,Write-In,Write In,56,False
2017,Virginia,District 97,Democratic Party,Cori E. Johnson,9319,False
2017,Virginia,District 97,Republican Party,Christopher K. Peace,24363,True
2017,Virginia,District 97,Write-In,Write In,62,False
2017,Virginia,District 98,Democratic Party,Sheila Crowley,9945,False
2017,Virginia,District 98,Republican Party,M. Keith Hodges,18561,True
2017,Virginia,District 98,Write-In,Write In,28,False
2017,Virginia,District 99,Democratic Party,Francis Nicholas Edwards,10043,False
2017,Virginia,District 99,Republican Party,Margaret Bevans Ransone,16548,True
2017,Virginia,District 99,Write-In,Write In,32,False
2017,Virginia,District 100,Democratic Party,Willie C. Randall,10720,False
2017,Virginia,District 100,Republican Party,"Robert S. Bloxom, Jr.",11720,True
2017,Virginia,District 100,Write-In,Write In,40,False
