,Democrat,Republican,Other,State,Year,Democrat Incumbent,Democrat Votes,Republican Incumbent,Republican Votes
2897,Rachel Hendricks,Marcy Toepel,,Pennsylvania,2016,False,11597,True,20045
2898,Mary Jo Daley,Edward Flocco,,Pennsylvania,2016,True,24669,False,14193
2899,Tim Briggs,Chachira Smith-Robinson,,Pennsylvania,2016,True,22393,False,11097
2900,Linda Weaver,Michael Corr,,Pennsylvania,2016,False,14352,False,17065
2901,Jimmy Fagan,Todd Stephens,,Pennsylvania,2016,False,13119,True,20358
2902,Albert Dermovsesian,Thomas Murt,,Pennsylvania,2016,False,12439,True,21478
2903,Madeleine Dean,Anthony Scalfaro,,Pennsylvania,2016,True,24496,False,12478
2904,Steve McCarter,Thomas Estilow,,Pennsylvania,2016,True,27067,False,7747
2905,James Burns,Becky Corbin,,Pennsylvania,2016,False,15686,True,21617
2906,Carolyn Comitta,Dan Truitt,,Pennsylvania,2016,False,18267,True,18242
2907,Hans Van Mol,Warren Kampf,,Pennsylvania,2016,False,15156,True,19144
2908,Susan Rzucidlo,Eric Roe,,Pennsylvania,2016,False,15590,False,17634
2909,Brian Kirkland,Michael Ciach,,Pennsylvania,2016,False,18161,False,5860
2910,No candidate,Stephen Barrar,"David Cleary: 5,211 (Ind.)",Pennsylvania,2016,False,0,True,22178
2911,Leanne Krueger-Braneky,Patti Rodgers Morrisette,,Pennsylvania,2016,True,18218,False,17621
2912,James Butt,Nick Miccarelli,,Pennsylvania,2016,False,11225,True,19883
2913,Barbarann Keffer,Jamie Santora,,Pennsylvania,2016,False,15313,True,18176
2914,Margo Davidson,Inderjit Singh Bains,,Pennsylvania,2016,True,20448,True,5423
2915,Elaine Schaefer,Alexander Charlton,,Pennsylvania,2016,False,16193,False,20615
2916,Gregory Vitali,James Knapp,,Pennsylvania,2016,True,23783,False,12236
2917,Joe Denham,Duane Milne,,Pennsylvania,2016,False,15734,True,20623
2918,Diane Levy,Christopher Quinn,,Pennsylvania,2016,False,16447,True,21058
2919,No candidate,Kate Anne Klunk,"Robert Marcoccio: 5,506 (Unaffiliated)",Pennsylvania,2016,False,0,True,23042
2920,Matthew Darragh,Martina White,,Pennsylvania,2016,False,12192,True,14265
2921,Melody Fleck,Kerry Benninghoff,,Pennsylvania,2016,False,10749,True,23440
2922,Kevin Boyle,James Pio,,Pennsylvania,2016,True,16124,False,9691
2923,Michael Driscoll,No candidate,,Pennsylvania,2016,True,1,False,0
2924,Edward Neilson,No candidate,,Pennsylvania,2016,True,1,False,0
2925,Michael O'Brien,No candidate,,Pennsylvania,2016,True,1,False,0
2926,No candidate,"Jack Rader, Jr.",,Pennsylvania,2016,False,0,True,1
2927,Joseph Hohenstein,John Taylor,,Pennsylvania,2016,False,11491,True,14128
2928,Neale Dougherty,Scott Petri,,Pennsylvania,2016,False,15021,True,23567
2929,Jason Dawkins,No candidate,,Pennsylvania,2016,True,1,False,0
2930,Angel Cruz,No candidate,,Pennsylvania,2016,True,1,False,0
2931,W. Curtis Thomas,No candidate,,Pennsylvania,2016,True,1,False,0
2932,Brian Sims,No candidate,,Pennsylvania,2016,True,1,False,0
2933,Phillips Armstrong,Zachary Mako,,Pennsylvania,2016,False,12700,False,17481
2934,William Keller,No candidate,,Pennsylvania,2016,True,1,False,0
2935,Maria Donatucci,No candidate,,Pennsylvania,2016,True,1,False,0
2936,Jordan Harris,No candidate,,Pennsylvania,2016,True,1,False,0
2937,No candidate,Gary Day,,Pennsylvania,2016,False,0,True,1
2938,"James Roebuck, Jr.",No candidate,,Pennsylvania,2016,True,1,False,0
2939,Damary Bonilla-Rodriguez,Rosemary Brown,,Pennsylvania,2016,False,9272,True,16142
2940,Vanessa Lowery Brown,No candidate,,Pennsylvania,2016,True,1,False,0
2941,Joanna McClinton,No candidate,,Pennsylvania,2016,True,1,False,0
2942,Morgan Cephas,No candidate,,Pennsylvania,2016,False,1,False,0
2943,Denise Van Essen,Will Tallman,,Pennsylvania,2016,False,7345,True,21306
2944,Pamela Delissio,William Pounds,,Pennsylvania,2016,True,22960,False,9507
2945,Donna Bullock,No candidate,,Pennsylvania,2016,True,1,False,0
2946,No candidate,Seth Grove,,Pennsylvania,2016,False,0,True,1
2947,Leslie Acosta,No candidate,,Pennsylvania,2016,True,1,False,0
2948,Rosita Youngblood,No candidate,,Pennsylvania,2016,True,1,False,0
2949,Jill Sunday Bartoli,Stephen Bloom,,Pennsylvania,2016,False,10598,True,19064
2950,Christopher Rabb,Latryse McDowell,,Pennsylvania,2016,False,34012,False,1958
2951,Stephen Kinsey,No candidate,,Pennsylvania,2016,True,1,False,0
2952,Jared Solomon,No candidate,,Pennsylvania,2016,False,1,False,0
2953,Isabella Fitzgerald,No candidate,,Pennsylvania,2016,True,1,False,0
2954,Edith Ajello,No candidate,"Raymond Mathieu: 1,398 (Ind.)",Rhode Island,2016,True,2963,False,0
2955,Christopher Blazejewski,Mark Teoli,,Rhode Island,2016,True,3476,False,636
2956,Moira Walsh,No candidate,,Rhode Island,2016,False,1,False,0
2957,J. Aaron Regunberg,No candidate,,Rhode Island,2016,True,1,False,0
2958,Marcia Ranglin-Vassell,Roland Lavallee,,Rhode Island,2016,False,2460,False,610
2959,Raymond Hull,No candidate,,Rhode Island,2016,True,1,False,0
2960,Daniel McKiernan,No candidate,Grant Vaneck: 623 (Ind.),Rhode Island,2016,True,3496,False,0
2961,John Lombardi,No candidate,,Rhode Island,2016,True,1,False,0
2962,Anastasia Williams,No candidate,,Rhode Island,2016,True,1,False,0
2963,Scott Slater,No candidate,,Rhode Island,2016,True,1,False,0
2964,Grace Diaz,No candidate,,Rhode Island,2016,True,1,False,0
2965,Joseph Almeida,No candidate,"Luis Vargas: 1,591 (Ind.)",Rhode Island,2016,True,1815,False,0
2966,Ramon Perez,No candidate,,Rhode Island,2016,False,1,False,0
2967,Charlene Lima,No candidate,,Rhode Island,2016,True,1,False,0
2968,Nicholas Mattiello,Steven Frias,Patrick Vallier: 202 (Ind.),Rhode Island,2016,True,3611,False,3526
2969,Christopher Millea,Robert B. Lancia,,Rhode Island,2016,False,3355,True,3425
2970,Robert Jacquard,No candidate,,Rhode Island,2016,True,1,False,0
2971,Arthur Handy,No candidate,,Rhode Island,2016,True,1,False,0
2972,Joseph McNamara,No candidate,"David Mastriano: 2,793 (Ind.)",Rhode Island,2016,True,4352,False,0
2973,David Bennett,No candidate,"Daniel Elliott: 2,129 (Ind.)",Rhode Island,2016,True,2926,False,0
2974,Camille Vella-Wilkinson,Michael Penta,"Andrew Knutton: 171 (Ind.) Michael Underwood: 1,064 (Ind.)",Rhode Island,2016,False,2758,False,2179
2975,"Joseph J. Solomon, Jr.",No candidate,"Elizabeth Smith: 2,130 (Ind.)",Rhode Island,2016,True,3847,False,0
2976,K. Joseph Shekarchi,No candidate,,Rhode Island,2016,True,1,False,0
2977,Evan Shanley,Stacia Huyler,,Rhode Island,2016,False,3910,False,3309
2978,Jared Nunes,No candidate,,Rhode Island,2016,True,1,False,0
2979,Anthony Paolino,Patricia Morgan,Vincent Marzullo: 504 (Ind.),Rhode Island,2016,False,2079,True,3192
2980,Patricia Serpa,No candidate,"Mark Bourget: 2,735 (Ind.)",Rhode Island,2016,True,3543,False,0
2981,Ryan Hall,Robert Nardolillo,,Rhode Island,2016,False,2463,True,4288
2982,Lisa Tomasso,Sherry Roberts,,Rhode Island,2016,False,3269,True,3950
2983,No candidate,Antonio Giarrusso,,Rhode Island,2016,False,0,True,1
2984,Julie Casimiro,Michael Marfeo,,Rhode Island,2016,False,4293,False,3165
2985,Robert Craven,Mark Zaccaria,,Rhode Island,2016,True,4337,False,3458
2986,Carol Hagan McEntee,No candidate,"Douglas Buonanno: 2,874 (Ind.)",Rhode Island,2016,True,4466,False,0
2987,Teresa Tanzi,No candidate,,Rhode Island,2016,True,1,False,0
2988,Kathleen Fogarty,No candidate,"Bruce Waidler: 2,054 (Ind.)",Rhode Island,2016,True,2825,False,0
2989,No candidate,No candidate,Blake Filippi (I),Rhode Island,2016,False,0,False,0
2990,Samuel Azzinaro,No candidate,,Rhode Island,2016,True,1,False,0
2991,Brian Kennedy,No candidate,"Michael Geary: 2,726 (Ind.)",Rhode Island,2016,True,3173,False,0
2992,Larry Valencia,Justin Price,,Rhode Island,2016,False,2737,True,4122
2993,Joseph Cardillo,Michael Chippendale,,Rhode Island,2016,False,2185,True,5002
2994,Michael Marcello,Robert Quattrocchi,,Rhode Island,2016,True,3871,False,4058
2995,Stephen Ucci,No candidate,,Rhode Island,2016,True,1,False,0
2996,Deborah Fellela,No candidate,"Karin Gorman: 2,581 (Ind.)",Rhode Island,2016,True,3585,False,0
2997,Gregory Costantino,No candidate,,Rhode Island,2016,True,1,False,0
2998,Mia Ackerman,Ronald Rossi,"Paul Santoro: 2,230 (Ind.)",Rhode Island,2016,True,3129,False,1178
2999,Jeremiah O'Grady,No candidate,"Bradley Collins: 1,733 (Ind.) John Cullen: 1,343 (Ind.) Paul DiDomenico: 702 (Ind.)",Rhode Island,2016,True,3219,False,0
3000,Cale Keable,David Place,,Rhode Island,2016,True,3122,False,2988
3001,No candidate,Brian Newberry,,Rhode Island,2016,False,0,True,1
3002,Michael Morin,No candidate,,Rhode Island,2016,True,1,False,0
3003,Stephen Casey,No candidate,,Rhode Island,2016,True,1,False,0
3004,Robert Phillips,No candidate,,Rhode Island,2016,True,1,False,0
3005,Alex Marszalkowski,Lisa Cannon,,Rhode Island,2016,False,4018,False,3627
3006,Thomas Winfield,Stephanie Westgate,,Rhode Island,2016,True,3540,False,2648
3007,William O'Brien,No candidate,,Rhode Island,2016,True,1,False,0
3008,Arthur Corvese,No candidate,,Rhode Island,2016,True,1,False,0
3009,Shelby Maldonado,No candidate,,Rhode Island,2016,True,1,False,0
3010,James McLaughlin,No candidate,,Rhode Island,2016,True,1,False,0
3011,Carlos Tobon,No candidate,Jonathan Vallecilla: 857 (Ind.),Rhode Island,2016,True,2554,False,0
3012,Jean P. Barros,No candidate,Lori Barden: 834 (Ind.) Andrew Maguire: 258 (Ind.),Rhode Island,2016,True,3044,False,0
3013,"David Coughlin, Jr.",No candidate,,Rhode Island,2016,True,1,False,0
3014,"Raymond Johnston, Jr.",No candidate,"James Obenchain: 1,539 (Ind.)",Rhode Island,2016,True,2886,False,0
3015,Mary Messier,No candidate,,Rhode Island,2016,True,1,False,0
3016,Katherine Kazarian,Christopher Holland,,Rhode Island,2016,True,4155,False,2191
3017,Helder Cunha,No candidate,,Rhode Island,2016,False,1,False,0
3018,Gregg Amore,No candidate,,Rhode Island,2016,True,1,False,0
3019,Joy Hearn,No candidate,,Rhode Island,2016,True,1,False,0
3020,Jason Knight,No candidate,"Daryl Gould: 1,715 (L)",Rhode Island,2016,False,3736,False,0
3021,Kenneth Marshall,No candidate,"William Hunt, Jr.: 2,529 (L)",Rhode Island,2016,True,4078,False,0
3022,Susan Donovan,Antonio Avila,Analee Berretto: 809 (L),Rhode Island,2016,False,2607,False,1917
3023,John Edwards,No candidate,,Rhode Island,2016,True,1,False,0
3024,Dennis Canario,Justin LaCroix,,Rhode Island,2016,True,3973,False,3249
3025,Linda Dill Finn,Kenneth Mendonca,,Rhode Island,2016,False,3625,False,3791
3026,Marvin Abney,No candidate,,Rhode Island,2016,True,1,False,0
3027,Deborah Ruggiero,Rebecca Schiff,,Rhode Island,2016,True,3389,False,3162
3028,Lauren Carson,No candidate,"Michael W. Smith: 2,265 (Ind.)",Rhode Island,2016,True,2909,False,0
3029,No candidate,Bill Whitmire,,South Carolina,2016,False,0,True,13935
3030,No candidate,"Bill Sandifer, III",,South Carolina,2016,False,0,True,13988
3031,No candidate,Gary Clary,"Travis McCurry: 1,651 (L)",South Carolina,2016,False,0,True,8653
3032,No candidate,Davey Hiott,"Joey Lum: 1,532 (L)",South Carolina,2016,False,0,True,14447
3033,No candidate,Neal Collins,,South Carolina,2016,False,0,True,15069
3034,No candidate,Brian White,,South Carolina,2016,False,0,True,13809
3035,No candidate,Jay West,,South Carolina,2016,False,0,False,10566
3036,Barbara Jo Mullis,Jonathon Hill,,South Carolina,2016,False,4969,True,10751
3037,Mary Geren,Anne Thayer,,South Carolina,2016,False,4747,True,10062
3038,Anna Brown,Joshua Putnam,,South Carolina,2016,False,3186,True,13823
3039,No candidate,Craig Gagnon,,South Carolina,2016,False,0,True,10472
3040,J. Anne Parks,"Jennings McAbee, Sr.",,South Carolina,2016,True,7583,False,5409
3041,Michael Gaskin,John McCravy,,South Carolina,2016,False,4753,False,12498
3042,No candidate,Michael Pitts,,South Carolina,2016,False,0,True,13631
3043,KJ Kearney,Samuel Rivers Jr.,,South Carolina,2016,False,4713,True,5936
3044,Brandon Greene,Mark Willis,,South Carolina,2016,False,5388,True,10209
3045,No candidate,Mike Burns,,South Carolina,2016,False,0,True,15681
3046,No candidate,Tommy Stringer,,South Carolina,2016,False,0,True,15208
3047,No candidate,Dwight Loftis,,South Carolina,2016,False,0,True,10379
3048,No candidate,Dan Hamilton,,South Carolina,2016,False,0,True,15314
3049,No candidate,Phyllis Henderson,,South Carolina,2016,False,0,True,17589
3050,No candidate,Jason Elliott,,South Carolina,2016,False,0,False,13029
3051,Chandra Dillard,No candidate,,South Carolina,2016,True,9193,False,0
3052,No candidate,Bruce Bannister,,South Carolina,2016,False,0,True,16200
3053,Leola Robinson-Simpson,No candidate,"Tony Boyce: 2,299 (Independence)",South Carolina,2016,True,9029,False,0
3054,Jim Thompson,R. Raye Felder,,South Carolina,2016,False,6785,True,14328
3055,No candidate,Garry Smith,,South Carolina,2016,False,0,True,14295
3056,No candidate,Eric Bedingfield,,South Carolina,2016,False,0,True,14700
3057,No candidate,Dennis Moss,,South Carolina,2016,False,0,True,12372
3058,No candidate,Steve Moss,,South Carolina,2016,False,0,True,10976
3059,Harold Mitchell Jr.,Michael A. Fowler,,South Carolina,2016,True,7993,False,2362
3060,No candidate,Derham Cole Jr.,,South Carolina,2016,False,0,True,13167
3061,No candidate,Eddie Tallon,,South Carolina,2016,False,0,True,13551
3062,Luke Quillen,Mike Forrester,,South Carolina,2016,False,6353,True,10713
3063,No candidate,Bill Chumley,,South Carolina,2016,False,0,True,16786
3064,No candidate,Merita Ann Allison,,South Carolina,2016,False,0,True,11716
3065,Michael Pratt,Steven Long,,South Carolina,2016,False,4509,False,10386
3066,No candidate,Josiah Magnuson,,South Carolina,2016,False,0,False,13956
3067,Tillman Gives,Cal Forrest,,South Carolina,2016,False,4231,False,11322
3068,Carlton Kinard,Richard Martin,,South Carolina,2016,False,6807,False,9719
3069,MaryGail Douglas,No candidate,,South Carolina,2016,True,14407,False,0
3070,Michael Anthony,Tommy Mann,,South Carolina,2016,True,8099,False,6746
3071,No candidate,Francis Delleney Jr.,,South Carolina,2016,False,0,True,11904
3072,Mandy Powers Norrell,No candidate,,South Carolina,2016,True,10469,False,0
3073,Tyler Mitchell,Brandon Newton,,South Carolina,2016,False,8714,False,16709
3074,No candidate,Gary Simrill,,South Carolina,2016,False,0,True,14019
3075,No candidate,Tommy Pope,"Diane Phelps Simmons: 2,659 (Constitution)",South Carolina,2016,False,0,True,13579
3076,No candidate,Ralph W. Norman,,South Carolina,2016,False,0,True,15939
3077,John King,No candidate,,South Carolina,2016,True,11361,False,0
3078,Will Wheeler,No candidate,,South Carolina,2016,False,11983,False,0
3079,J. David Weeks,No candidate,,South Carolina,2016,True,12217,False,0
3080,Laurie Funderburk,No candidate,,South Carolina,2016,True,13471,False,0
3081,Victor K. Li,Richie Yow,,South Carolina,2016,False,4803,True,7672
3082,Patricia Henegan,J.D. Chaplin,,South Carolina,2016,True,8643,False,4472
3083,Jackie Hayes,No candidate,,South Carolina,2016,True,10317,False,0
3084,No candidate,Mike Ryhal,,South Carolina,2016,False,0,True,13685
3085,Lucas Atkinson,Ethan Brown,,South Carolina,2016,False,11314,False,3333
3086,John Ward,Jeff Johnson,,South Carolina,2016,False,4662,True,10769
3087,Terry Alexander,No candidate,,South Carolina,2016,True,11510,False,0
3088,No candidate,Phillip Lowe,,South Carolina,2016,False,0,True,10813
3089,Roger Kirby,No candidate,,South Carolina,2016,True,10086,False,0
3090,Robert Williams,No candidate,,South Carolina,2016,True,12176,False,0
3091,No candidate,Jay Jordan,,South Carolina,2016,False,0,True,14136
3092,"Robert L. Ridgeway, III",No candidate,,South Carolina,2016,True,13126,False,0
3093,No candidate,James Lucas,,South Carolina,2016,False,0,True,11668
3094,Gilda Cobb-Hunter,No candidate,,South Carolina,2016,True,12626,False,0
3095,No candidate,"George Smith, Jr.",,South Carolina,2016,False,0,True,11808
3096,No candidate,Heather Ammons Crawford,,South Carolina,2016,False,0,True,13049
3097,No candidate,Rick Quinn,,South Carolina,2016,False,0,True,15528
3098,Joseph Neal,No candidate,,South Carolina,2016,True,12513,False,0
3099,No candidate,Nathan Ballentine,,South Carolina,2016,False,0,True,17313
3100,James Smith Jr.,No candidate,,South Carolina,2016,True,8491,False,0
3101,Christopher Hart,No candidate,,South Carolina,2016,True,11222,False,0
3102,James Rutherford,No candidate,,South Carolina,2016,True,12174,False,0
3103,Tyler Gregg,Kirkman Finlay III,,South Carolina,2016,False,6175,True,9072
3104,Leon Howard,No candidate,,South Carolina,2016,True,13094,False,0
3105,Joseph McEachern,No candidate,,South Carolina,2016,True,16994,False,0
3106,Beth Bernstein,No candidate,,South Carolina,2016,True,11815,False,0
3107,Ivory Thigpen,Donald Miles,Victor Kocher: 354 (L),South Carolina,2016,True,13366,False,4581
3108,Jimmy Bales,No candidate,,South Carolina,2016,True,12248,False,0
3109,No candidate,Bart Blackwell,,South Carolina,2016,False,0,False,16781
3110,William Clyburn Sr.,No candidate,,South Carolina,2016,True,10964,False,0
3111,No candidate,Bill Hixon,,South Carolina,2016,False,0,True,14589
3112,No candidate,Chris Corley,,South Carolina,2016,False,0,True,11884
3113,No candidate,Chip Huggins,,South Carolina,2016,False,0,True,17515
3114,No candidate,William Taylor,,South Carolina,2016,False,0,True,12312
3115,No candidate,Todd Atwater,,South Carolina,2016,False,0,True,18884
3116,No candidate,McLain Toole,,South Carolina,2016,False,0,True,13208
3117,Rosemounda Peggy Butler,Micah Caskey,Robert Lampley: 586 (Constitution),South Carolina,2016,False,4824,False,8956
3118,Justin Bamberg,Dan Lawrence,,South Carolina,2016,True,7945,False,6624
3119,Lonnie Hosey,No candidate,,South Carolina,2016,True,11326,False,0
3120,No candidate,Joseph Daning,,South Carolina,2016,False,0,True,11443
3121,Russell L. Ott,No candidate,,South Carolina,2016,True,12559,False,0
3122,Damian Daly,Katie Arrington,,South Carolina,2016,False,4779,False,11147
3123,Jerry Govan Jr.,No candidate,,South Carolina,2016,True,12403,False,0
3124,Robert Vanlue,Lawrence Kit Spires,,South Carolina,2016,False,3024,True,9494
3125,Patsy Knight,No candidate,,South Carolina,2016,True,11503,False,0
3126,No candidate,Chris Murphy,,South Carolina,2016,False,0,True,12235
3127,No candidate,James Merrill,,South Carolina,2016,False,0,True,15967
3128,Tonia Aiken-Taylor,Sylleste Davis,,South Carolina,2016,False,6294,True,12714
3129,Cezar McKnight,No candidate,,South Carolina,2016,True,11953,False,0
3130,Joseph Jefferson Jr.,No candidate,,South Carolina,2016,True,10695,False,0
3131,Carl Anderson,No candidate,,South Carolina,2016,True,11822,False,0
3132,No candidate,Greg Duckworth,,South Carolina,2016,False,0,True,16759
3133,No candidate,Kevin J. Hardee,,South Carolina,2016,False,0,True,11410
3134,No candidate,Russell Fry,,South Carolina,2016,False,0,True,17841
3135,No candidate,Alan Clemmons,,South Carolina,2016,False,0,True,13048
3136,No candidate,Lee Hewitt,,South Carolina,2016,False,0,False,17046
3137,David Mack,No candidate,,South Carolina,2016,True,11126,False,0
3138,Alice Wakefield,William S. Cogswell Jr.,,South Carolina,2016,False,6416,False,11961
3139,Wendell Gilliard,No candidate,,South Carolina,2016,True,11978,False,0
3140,No candidate,Mike Sottile,,South Carolina,2016,False,0,True,17868
3141,Jackson Whipper,No candidate,,South Carolina,2016,True,10617,False,0
3142,Bob Aubin,Lin Bennett,,South Carolina,2016,False,7487,False,11576
3143,No candidate,Peter McCoy,,South Carolina,2016,False,0,True,14957
3144,Robert Brown,Carroll O'Neal,,South Carolina,2016,True,9955,False,8573
3145,No candidate,Bill Crosby,,South Carolina,2016,False,0,True,8727
3146,No candidate,Bill Herbkersman,"Alfred A. North: 1,933 (American)",South Carolina,2016,False,0,True,13291
3147,Leonidas Stavrinakis,Lee Edwards,,South Carolina,2016,True,12146,False,7699
3148,No candidate,Weston Newton,,South Carolina,2016,False,0,True,14022
3149,Michael Rivers,James Broderick,,South Carolina,2016,False,9092,False,5617
3150,William Bowers,No candidate,,South Carolina,2016,True,12127,False,0
3151,No candidate,Jeff Bradley,,South Carolina,2016,False,0,True,14425
3152,Bobby Green,Shannon Erickson,,South Carolina,2016,False,5399,True,10656
3153,No candidate,John Crawford,,Tennessee,2016,False,0,False,1
3154,J. S. Moore,Bud Hulsey,,Tennessee,2016,False,4940,True,20334
3155,No candidate,Timothy Hill,"Gary Kawula: 3,129 (Ind.)",Tennessee,2016,False,0,True,19316
3156,No candidate,John Holsclaw Jr.,,Tennessee,2016,False,0,True,1
3157,No candidate,David Hawk,,Tennessee,2016,False,0,True,1
3158,John Baker,James Van Huss,,Tennessee,2016,False,6807,True,18213
3159,Nancy Fischman,Matthew Hill,,Tennessee,2016,False,6840,True,14385
3160,No candidate,Art Swann,,Tennessee,2016,False,0,True,1
3161,No candidate,Gary Hicks,"John Neubert: 4,516 (Ind.)",Tennessee,2016,False,0,True,15536
3162,No candidate,Tilman Goins,,Tennessee,2016,False,0,True,1
3163,Marjorie Ramsey,Jeremy Faison,,Tennessee,2016,False,4374,True,15318
3164,No candidate,Dale Carr,,Tennessee,2016,False,0,True,1
3165,Gloria Johnson,Eddie Smith,,Tennessee,2016,False,11011,True,11162
3166,Scott Hacker,Jason Zachary,,Tennessee,2016,False,9235,True,24849
3167,Rick Staples,No candidate,"Pete Drew: 4,968 (Ind.)",Tennessee,2016,False,9242,False,0
3168,No candidate,Bill Dunn,,Tennessee,2016,False,0,True,1
3169,No candidate,Andrew Farmer,,Tennessee,2016,False,0,True,1
3170,Brandi Price,Martin Daniel,,Tennessee,2016,False,10742,True,15572
3171,No candidate,Harry Brooks,,Tennessee,2016,False,0,True,1
3172,No candidate,Robert Ramsey,"Sam Duck: 4,669 (Ind.)",Tennessee,2016,False,0,True,19106
3173,Pamela Weston,Jimmy Matlock,William Vandever: 916 (Ind.),Tennessee,2016,False,5447,True,21087
3174,Anna Miller Grabowski,Dan Howell,,Tennessee,2016,False,4486,True,20064
3175,No candidate,John W. Forgety,"Daniel Housley: 3,337 (Ind.)",Tennessee,2016,False,0,True,19998
3176,No candidate,Kevin Brooks,,Tennessee,2016,False,0,True,1
3177,Judy Barnett,Cameron Sexton,,Tennessee,2016,False,6077,True,22335
3178,No candidate,Gerald McCormick,,Tennessee,2016,False,0,True,1
3179,Steve Gordon,Patsy Hazlewood,,Tennessee,2016,False,8142,True,20995
3180,Joanne Favors,No candidate,,Tennessee,2016,True,1,False,0
3181,No candidate,Mike Carter,,Tennessee,2016,False,0,True,1
3182,Katie R. Cowley,Marc Gravitt,Patrick Hickey: 916 (Ind.),Tennessee,2016,False,8622,True,17044
3183,No candidate,Ron Travis,,Tennessee,2016,False,0,True,1
3184,Corey B. Stafford,Kent Calfee,"Tyler Overstreet: 5,836 (Ind.)",Tennessee,2016,False,3409,True,15627
3185,Michael S. McKamey,John Ragan,,Tennessee,2016,False,8057,True,15743
3186,Laura Bohling,Tim Rudd,,Tennessee,2016,False,9939,False,19962
3187,No candidate,Jerry Sexton,,Tennessee,2016,False,0,True,1
3188,Bob Fannon,Dennis Powers,,Tennessee,2016,False,5297,True,13944
3189,Becky Goff,Dawn White,,Tennessee,2016,False,9640,True,14744
3190,F. Mike Campbell,Kelly Keisling,,Tennessee,2016,False,3841,True,16988
3191,Nancy Silvertooth,David Alexander,,Tennessee,2016,False,7522,True,15920
3192,Gayla Colvert Hendrix,Terri Lynn Weaver,,Tennessee,2016,False,7450,True,20364
3193,John Windle,Ed Butler,,Tennessee,2016,True,12238,False,10021
3194,Amos Powers,Ryan Williams,,Tennessee,2016,False,5986,True,17486
3195,Kevin Dunlap,Paul Sherrell,,Tennessee,2016,True,10213,False,11692
3196,Lloyd Dunn,William G. Lamberth,,Tennessee,2016,False,5642,True,18009
3197,No candidate,Courtney Rogers,,Tennessee,2016,False,0,True,1
3198,Amelia Morrison Hipps,Mark Pody,,Tennessee,2016,False,6589,True,19785
3199,No candidate,Judd Matheny,,Tennessee,2016,False,0,True,1
3200,Justin Miller,Bryan Terry,,Tennessee,2016,False,8726,True,16381
3201,Brandon Thomas,Mike Sparks,,Tennessee,2016,False,8604,True,13531
3202,Bo Mitchell,Nathan Massey,,Tennessee,2016,True,15188,False,13861
3203,Bill Beck,No candidate,,Tennessee,2016,True,1,False,0
3204,Mike Stewart,No candidate,,Tennessee,2016,True,1,False,0
3205,Jason Powell,Davette Blalock,,Tennessee,2016,True,12457,False,9208
3206,Brenda Gilmore,No candidate,"Robert Sawyers, Sr.: 3,251 (Ind.)",Tennessee,2016,True,19782,False,0
3207,John Ray Clemmons,No candidate,,Tennessee,2016,True,1,False,0
3208,Chris Moth,Beth Harwell,,Tennessee,2016,False,15224,True,21069
3209,Trisha Farmer,Susan Lynn,,Tennessee,2016,False,10870,True,24444
3210,Harold M. Love,No candidate,,Tennessee,2016,True,1,False,0
3211,Sherry Jones,No candidate,,Tennessee,2016,True,1,False,0
3212,Darren Jernigan,Steve Glover,,Tennessee,2016,True,15103,False,11799
3213,No candidate,"Charles Sargent, Jr.",,Tennessee,2016,False,0,True,1
3214,Sharon Kay Edwards,Pat Marsh,,Tennessee,2016,False,4824,True,15954
3215,Courtenay Rogers,Glen Casada,,Tennessee,2016,False,11125,True,28390
3216,No candidate,Sheila Butt,"James Gray: 7,516 (Ind.)",Tennessee,2016,False,0,True,19984
3217,Holly McCall,Sam Whitson,,Tennessee,2016,False,8947,False,21649
3218,Larry Proffitt,Sabi Kumar,,Tennessee,2016,False,6589,True,18432
3219,Joe Pitts,No candidate,"Mike Warner: 6,562 (Ind.)",Tennessee,2016,True,10564,False,0
3220,No candidate,Curtis Johnson,,Tennessee,2016,False,0,True,1
3221,Dustin Evans,Michael Curcio,,Tennessee,2016,False,7391,False,14144
3222,Calvin Moore,Barry Doss,"Roy Waldrop: 2,000 (Ind.)",Tennessee,2016,False,5645,True,15365
3223,No candidate,David Byrd,,Tennessee,2016,False,0,True,1
3224,No candidate,Steve McDaniel,,Tennessee,2016,False,0,True,1
3225,No candidate,Jimmy Eldridge,,Tennessee,2016,False,0,True,1
3226,Andy Porch,Jay Reedy,,Tennessee,2016,False,8021,True,11260
3227,Daniel Powell,Tim Wirgau,"James Hart: 1,917 (Ind.)",Tennessee,2016,False,5771,True,14816
3228,Angela Callis,Andrew H. Holt,"Bennie Castleman: 3,215 (Ind.)",Tennessee,2016,False,4327,True,13038
3229,No candidate,Bill Sanderson,"Tom Reasons: 3,809 (Ind.)",Tennessee,2016,False,0,True,16326
3230,Travis S. Staten,Mary Littleton,,Tennessee,2016,False,6539,True,18679
3231,No candidate,Curtis Halford,,Tennessee,2016,False,0,True,1
3232,Johnny Shaw,No candidate,,Tennessee,2016,True,1,False,0
3233,Deborah K. Reed,Debra Moody,,Tennessee,2016,False,4842,True,15535
3234,Craig Fitzhugh,Andy Cole,,Tennessee,2016,True,10443,False,8220
3235,Lawrence Pivnick,Mark White,,Tennessee,2016,False,9506,True,16900
3236,"Joe Towns, Jr.",No candidate,,Tennessee,2016,True,1,False,0
3237,Johnnie Turner,No candidate,,Tennessee,2016,True,1,False,0
